,total_magnetization,density,volume
count,154387.0,154387.0,154387.0
mean,5.315089943568435,5.140475269066263,514.644381644191
std,12.302701023807247,2.7582779191072575,595.3960123988859
min,0.0,0.020143717198942795,5.6102692527766935
25%,3.04e-05,3.1897178997937106,173.01262170979228
50%,0.0093709,4.451142188422853,320.6926438823538
75%,5.2738885,6.564625629240512,625.1649441598765
max,320.043733,26.581335737924945,20090.90640762975
